S.NO,University Name,State,District,College description,College Link,Location Link,12th Percentage,Entrance Percentage,Ranking,Stream Rank,Department,Output
21,SRM Institute of Science and Technology,Tamil Nadu,Chennai,"SRM Institute of Science and Technology (SRM IST), formerly known as SRM University, is one of the top-ranking universities in India with over 20,000 students and more than 2600 faculty across all the campus. It offers a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine, Health Sciences, Science and Humanities.",https://www.srmist.edu.in/,https://goo.gl/maps/z7BsZBg1coy96UdJ8,50,60,19,1,Electical and Electonics Engineering,Yes
22,Vellore Institute of Technology,Tamil Nadu,Vellore,"VIT admits bachelor students through its own engineering entrance exam, called the Vellore Institute of Technology Engineering Entrance Examination (VITEEE).It is conducted every year in the month of April and May. The exam has been conducted online since 2013 and in 2022, 212,000 students have registered. VITEEE 2022 was held on 30'th June - 6'th July 2022",https://vit.ac.in/,https://goo.gl/maps/hgQD3vdarwFDZP1eA,55,55,9,2,Electical and Electonics Engineering,Yes
23,Christ University, Karnataka,Bengaluru,"Christ University offers UG, PG, and Ph.D. programs through all five campuses. The university is quite popular for its B.Tech, and MBA programs. Every year more than 25000 students enroll in Christ University. Students aspiring to get admission into B.Tech should appear for the COMEDK exam. For those applying for Christ University MBA admission, appearing for the national-level management exams is a must. Christ University conducts the CUET entrance test for most of its UG and PG courses.",https://christuniversity.in/,https://goo.gl/maps/kN6GTxWdqatbPvYv7,55,40,71,3,Electical and Electonics Engineering,Yes
24, Lovely Professional University,Punjab,Phagwara,"LPU is a private university ranked 47th by NIRF in the Indian Universities ranking. LPU admission 2022 is currently ongoing. Admissions will be done through LPUNEST entrance exam. LPUNEST 2022 registrations are open till October 31, 2022. The exam is scheduled to be conducted from October 4 to 18, 2022. Also, LPU PhD registration is ongoing. As per the reports of LPU Placement 2021-22, a B.Tech student got placed at Google India with an INR 64.50 lakh package.",https://www.lpu.in/,https://g.page/LPUUniversity?share,60,55,47,4,Electical and Electonics Engineering,Yes
25,Savitribai Phule Pune University,Maharashtra,Pune,"Savitribai Phule Pune University (SPPU), also known as UniPune, is one of the premier universities in India. It is approved by the UGC and accredited by NAAC with an ‘A’ grade. The university is popularly known as the 'Oxford of the East'. UniPune has been ranked 12th among top universities in India by NIRF 2022. It has over 700 affiliated colleges, 46 academic departments, and 52 research centres.",http://www.unipune.ac.in/,https://goo.gl/maps/1X4ojbpJ4REeZVoM6,55,55,12,5,Electical and Electonics Engineering,Yes
26,Guru Gobind Singh Indraprastha University,Delhi,New Delhi,"Guru Gobind Singh Indraprastha University (GGSIPU), popularly known as IP University or IPU is ranked 77 among the top universities in India by NIRF 2022. IPU is approved by the UGC and accredited with an ‘A’ grade by the NAAC. IP University offers numerous courses at UG, PG & Research-based curriculum. Professional courses are in high demand & popular among the students.",http://www.ipu.ac.in/,https://goo.gl/maps/YknYxUsX6m2MAXRXA,60,50,95,6,Electical and Electonics Engineering,Yes
27,REVA University,Karnataka,Bangalore,"Reva University currently offers 55 Undergraduate Programmes, 28 full-time & 2 Part-time Postgraduate Programmes, 17 Ph.D. Programmes in Engineering, Architecture, Science and Technology, Commerce, Management Studies Law, Arts & Humanities, and Performing Arts. B.Tech is the most popular program of Reva University and admissions to the same are done on the basis of scores in REVA CET/KCET/COMED-K/Uni-GAUGE.",https://www.reva.edu.in/,https://goo.gl/maps/wW8DzUoECBTwBGJ79,45,50,151,7,Electical and Electonics Engineering,Yes
28,Indian Institute of Science,Karnataka,Bengaluru,"IISc Bangalore is known for the research courses and has been ranked at 155th position in QS world rankings. Most Popular course is Bachelor of Science (Research). Admission will be based on JEE advanced, JEE Main NEET and KVPY scores. Institute conducts its own counselling. Institute also offers M.Tech, M.Sc (Research), M.Des and MMS at the PG level.",https://iisc.ac.in/,https://goo.gl/maps/pxRnbjuhgDCAp7eK8,60,60,1,8,Electical and Electonics Engineering,Yes
29,Chandigarh University,Punjab,Mohali,Chandigarh University is a private university offering 200+ courses. The university is ranked 48th by NIRF 2022 in the Indian Universities ranking. Chandigarh University admission 2022-23 is now open for various UG and PG courses. Aspirants are required to appear for the Chandigrah University Common University Test (CUCET). The last date to apply for CUCET Phase 2 is October 8. Candidates can apply online on the university’s official website - cucet.cuchd.in. ,https://www.cuchd.in/,https://g.page/ChandigarhUni?share,50,55,29,9,Electical and Electonics Engineering,Yes
30,National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,"NIT Trichy is an autonomous technological institute established by the Govt of India. Since 2017, the institute has secured its first place among all other NITs in the NIRF rankings. For the year 2022, NIRF has placed NIT Trichy at 21 in Overall, 23 in Research, 8 in Engineering, 39 in Management, and 5 in the Architecture category. NIT Trichy admission 2022 is ongoing for the B.Tech program.",https://www.nitt.edu/,https://goo.gl/maps/xGuvi67j5KbLyTU46,75,65,47,10,Electical and Electonics Engineering,Yes
31,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,"Sathyabama Institute of Science and Technology, Chennai is a Christian Minority Institution established in 1987. It is a deemed-to-be University accredited with Grade ‘A’ by National Assessment and Accreditation Council (NAAC). Sathyabama Institute of Science and Technology offers various Undergraduate, Postgraduate and Doctoral Programs in the field of Engineering, Architecture, Dental, Arts, Commerce, and Science.",https://www.sathyabama.ac.in/,https://goo.gl/maps/QuVeBJuw7TNTMuQB7,45,45,43,11,Electical and Electonics Engineering,Yes
32,"Presidency University, Bangalore",Karnataka, Bangalore,"Presidency University was established in 2015 under the flagship of Presidency Group of Institutions (PGI). Recently, PGI has been awarded as ‘Most Promising Institute in South India’ at the British South India Council of Commerce and Business meets in 2014. Within a short span of four decades, PGI has created a niche for itself as one of the top-notch institutions in Bengaluru. Presidency University, is a private University Estd, in Karnataka State by Act No.41 of 2013.",https://presidencyuniversity.in/,https://goo.gl/maps/Zvwj62U1qjGfV113A,50,45,62,12,Electical and Electonics Engineering,Yes
33," National Institute of Technology, Warangal",Telangana,Warangal,NIT Warangal is the first NIT established in India. NIRF has placed NIT Warangal at 45 in the Overall category and 21 in the Engineering category in its 2022 rankings. NIT Warangal admission 2022 is ongoing for the B.Tech program. CSAB 2022 special round registrations began on October 26. Candidates who wish to apply for vacant seats can register online on CSAB’s official website - csab.nic.in. ,https://www.nitw.ac.in/,https://goo.gl/maps/nE1XMKvb5eRTfo6f8,75,75,45,13,Electical and Electonics Engineering,Yes
34,Dr MGR Educational and Research Institute,Tamil Nadu,Chennai,"The Institution provides different courses in different levels starting from Undergraduate, postgraduate, Diploma, Medical and Pharmacy courses and also education and training courses as well. Along with these degree courses, major professional courses are also provided like BBA, MBA, MCA, BCA, M.tech, B.Tech and many more. With a full fledge choices and opportunities, the institution is given a major competition to other institutions as well. ",https://www.drmgrdu.ac.in/,https://goo.gl/maps/aqKrhDGhYA31GpJG7,55,60,25,14,Electical and Electonics Engineering,Yes
35,PES University,Karnataka,Bengaluru,"PES University (PESU), established in 1972, is situated in Bangalore, the Silicon Valley of India. The University was formerly known as the PES Institute of Technology, it was renamed in 2013 where it attained University status by the Government of Karnataka. It offers UG, PG and Doctoral courses in streams of Management, Science, Medicine, Architecture, Technology, and Law.",https://pes.edu/,https://goo.gl/maps/6C2mn7kWp4JDaVz17,50,60,83,15,Electical and Electonics Engineering,Yes
36,Manipal University,Rajasthan,Jaipur,"The university is ranked 751-800 among the top universities in QS World University Rankings 2022. In the year 2021, the university improved its QS University Asia rankings from 239 to 230. The university has also been listed among the top charts of NIRF, The Week, and Outlook among other ranking agencies. As per the MAHE NIRF 2022 report, the university has placed 142 students out of 739 in UG placements. ",https://manipal.edu/mu.html,https://goo.gl/maps/JsuTibUDEocMwkxt9,50,50,103,16,Electical and Electonics Engineering,Yes
37,Annamalai University,Tamil Nadu,Chidambaram,"Annamalai University is one of India’s largest public residential universities located in Chidambaram, Tamil Nadu. It is recognized by the UGC and accredited with an ‘A’ grade by the NAAC. Annamalai University has been ranked in the band 151-2022 under the overall category by the NIRF 2022. Annamalai University has 48 affiliated colleges and it offers UG, PG, Doctoral, PG Diploma, Diploma, and Certificate programs. ",https://annamalaiuniversity.ac.in/index.php,https://goo.gl/maps/NEjmf5ZQxppHT5hc6,55,60,152,17,Electical and Electonics Engineering,Yes
38,National Institute of Technology Karnataka,Karnataka,Mangalore,"NIT Surathkal was established as Karnataka Regional Engineering College (KREC) in 1960 and upgraded as National Institute of Technology Karnataka (NITK) in 2002. The institute is ranked 10 among the top engineering colleges in India by NIRF 2022. NITK offers UG, PG, and Doctoral programs in the field of Engineering, Science, and Management.",https://www.nitk.ac.in/,https://goo.gl/maps/eRFnpagJi5i4z5yS9,60,75,64,18,Electical and Electonics Engineering,Yes
39,Visvesvaraya National Institute of Technology,Maharashtra,Nagpur,"VNIT Nagpur, (Visvesvaraya National Institute of Technology, Nagpur) is one of the top rated institutions of India which is highly recommended for pursuing its well known programme B.Tech offered in various disciplines of Engineering or Technology. VNIT Nagpur accepts admission to its B.Tech programme through the JEE Main entrance examination followed by JoSAA/CSAB Counseling Process.",https://vnit.ac.in/,https://goo.gl/maps/VNnyPyWo7jZp5xCX7,75,65,54,19,Electical and Electonics Engineering,Yes
40,Birla Institute of Technology and Science,Tamil Nadu,Palani,"The Birla Institute of Technology & Science, BITS Pilani is an all-India Institute for higher education. The primary motive of BITS is to ""train young men and women able and eager to create and put into action such ideas, methods, techniques and information"".",https://www.bits-pilani.ac.in/,https://goo.gl/maps/SfpECfucmb3t8wAR7,75,75,15,20,Electical and Electonics Engineering,Yes
41,Jamia Millia Islamia,Delhi,New Delhi,"SRM Institute of Science and Technology (SRM IST), formerly known as SRM University, is one of the top-ranking universities in India with over 20,000 students and more than 2600 faculty across all the campus. It offers a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine, Health Sciences, Science and Humanities.",https://www.srmist.edu.in/,https://goo.gl/maps/z7BsZBg1coy96UdJ8,50,50,3,1,Electronics and Communication Engineering,Yes
42,SRM Institute of Science and Technology,Tamil Nadu,Chennai,"SRM Institute of Science and Technology (SRM IST), formerly known as SRM University, is one of the top-ranking universities in India with over 20,000 students and more than 2600 faculty across all the campus. It offers a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine, Health Sciences, Science and Humanities.",https://www.srmist.edu.in/,https://goo.gl/maps/z7BsZBg1coy96UdJ8,50,60,19,2,Electronics and Communication Engineering,Yes
43,Maharaja Sayajirao University of Baroda,Gujarat,Baroda,"Maharaja Sayajirao University of Baroda is a private university . The university is recognized by UGC and has been accredited with an 'A' grade by the NAAC. It offers a plethora of UG, PG, and Doctoral courses in various faculties that include Engineering & Technology, Science, Arts, Commerce, Fine Arts, Law, Family & Community Services, Education & Psychology, Pharmacy, Journalism, Social Work, Management Studies, & Performing Arts.",https://www.msubaroda.ac.in/,https://g.page/TheMSUB?share,40,50,90,3,Electronics and Communication Engineering,Yes
44,Vellore Institute of Technology,Tamil Nadu,Vellore,"VIT admits bachelor students through its own engineering entrance exam, called the Vellore Institute of Technology Engineering Entrance Examination (VITEEE).It is conducted every year in the month of April and May. The exam has been conducted online since 2013 and in 2022, 212,000 students have registered. VITEEE 2022 was held on 30'th June - 6'th July 2022",https://vit.ac.in/,https://goo.gl/maps/hgQD3vdarwFDZP1eA,55,55,9,4,Electronics and Communication Engineering,Yes
45,Christ University, Karnataka,Bengaluru,"Christ University offers UG, PG, and Ph.D. programs through all five campuses. The university is quite popular for its B.Tech, and MBA programs. Every year more than 25000 students enroll in Christ University. Students aspiring to get admission into B.Tech should appear for the COMEDK exam. For those applying for Christ University MBA admission, appearing for the national-level management exams is a must. Christ University conducts the CUET entrance test for most of its UG and PG courses.",https://christuniversity.in/,https://goo.gl/maps/kN6GTxWdqatbPvYv7,55,40,71,5,Electronics and Communication Engineering,Yes
46, Lovely Professional University,Punjab,Phagwara,"LPU is a private university ranked 47th by NIRF in the Indian Universities ranking. LPU admission 2022 is currently ongoing. Admissions will be done through LPUNEST entrance exam. LPUNEST 2022 registrations are open till October 31, 2022. The exam is scheduled to be conducted from October 4 to 18, 2022. Also, LPU PhD registration is ongoing. As per the reports of LPU Placement 2021-22, a B.Tech student got placed at Google India with an INR 64.50 lakh package.",https://www.lpu.in/,https://g.page/LPUUniversity?share,60,55,47,6,Electronics and Communication Engineering,Yes
47,Delhi Technological University,Delhi,New Delhi,"DTU is ranked 2nd and 36th amongst Best Technological Universities across the country as per Times Engineering Survey and NIRF respectively. As the name suggests, DTU Courses generally comprise of the programs offered in the field of Engineering and Management. These programs are offered at the undergraduate, postgraduate, and doctorate levels. The admission procedure of these programs depends on entrance examination conducted at the national level such as JEE Main and GATE.",http://www.dtu.ac.in/,https://goo.gl/maps/VHMGgd3YwdPJitHD8,60,60,36,7,Electronics and Communication Engineering,Yes
48,"Indian Institute of Technology, Madras",Tamil Nadu,Chennai,"IIT Madras has 17 departments, 14 research centres, and a Continuing Education Programs Centre (CEP). All of the centres offer 121 courses in Engineering, Science, Humanities, and Management. IIT Madras has signed MOUs with a number of foreign universities for student exchange programs. As per the MoUs signed, students pursuing UG, PG, and Dual Degree programs at the institute spend a semester abroad for broad exposure.",https://www.iitm.ac.in/,https://goo.gl/maps/73bHL5Q8RQS8yt5v9,55,55,153,8,Electronics and Communication Engineering,Yes
49,University of Delhi,Delhi,Delhi,"Delhi University (DU) has released the list of vacant seats for CSAS round 2 allocation. Candidates can check the same on Delhi University’s official website - admission.uod.ac.in. Delhi University will release the 2nd merit list for UG admissions on October 30. Further, Delhi University has released the first cutoff list for NCWEB admission 2022. ",http://www.du.ac.in/,https://goo.gl/maps/oLaBSdn7PPT8mftL6,50,45,13,9,Electronics and Communication Engineering,Yes
50,Savitribai Phule Pune University,Maharashtra,Pune,"Savitribai Phule Pune University (SPPU), also known as UniPune, is one of the premier universities in India. It is approved by the UGC and accredited by NAAC with an ‘A’ grade. The university is popularly known as the 'Oxford of the East'. UniPune has been ranked 12th among top universities in India by NIRF 2022. It has over 700 affiliated colleges, 46 academic departments, and 52 research centres.",http://www.unipune.ac.in/,https://goo.gl/maps/1X4ojbpJ4REeZVoM6,55,55,12,10,Electronics and Communication Engineering,Yes
51,Guru Gobind Singh Indraprastha University,Delhi,New Delhi,"Guru Gobind Singh Indraprastha University (GGSIPU), popularly known as IP University or IPU is ranked 77 among the top universities in India by NIRF 2022. IPU is approved by the UGC and accredited with an ‘A’ grade by the NAAC. IP University offers numerous courses at UG, PG & Research-based curriculum. Professional courses are in high demand & popular among the students.",http://www.ipu.ac.in/,https://goo.gl/maps/YknYxUsX6m2MAXRXA,60,50,95,11,Electronics and Communication Engineering,Yes
52,Jamia Hamdard, New Delhi,Delhi,Jamia Hamdard University became a university in 1989 with the endorsement of the University Grants Commission (UGC). Jamia Hamdard is one of the top colleges in India. It was accredited in ‘A’ grade by NAAC and was ranked No. 1 for Pharmaceutical studies.,http://jamiahamdard.edu/,https://goo.gl/maps/z6S684pksuWb4vFs5,50,50,46,12,Electronics and Communication Engineering,Yes
53,REVA University,Karnataka,Bangalore,"Reva University currently offers 55 Undergraduate Programmes, 28 full-time & 2 Part-time Postgraduate Programmes, 17 Ph.D. Programmes in Engineering, Architecture, Science and Technology, Commerce, Management Studies Law, Arts & Humanities, and Performing Arts. B.Tech is the most popular program of Reva University and admissions to the same are done on the basis of scores in REVA CET/KCET/COMED-K/Uni-GAUGE.",https://www.reva.edu.in/,https://goo.gl/maps/wW8DzUoECBTwBGJ79,45,50,151,13,Electronics and Communication Engineering,Yes
54,"Indian Institute of Science, Bangalore",Karnataka,Bengaluru,"IISc Bangalore is known for the research courses and has been ranked at 155th position in QS world rankings. Most Popular course is Bachelor of Science (Research). Admission will be based on JEE advanced, JEE Main NEET and KVPY scores. Institute conducts its own counselling. Institute also offers M.Tech, M.Sc (Research), M.Des and MMS at the PG level.",https://iisc.ac.in/,https://goo.gl/maps/GK9gUja8pnfSpFYL7,50,70,94,14,Electronics and Communication Engineering,Yes
55,Jawaharlal Nehru University,Tamil Nadu,Pali,"NU is a central research university located in New Delhi, India. As per the latest NIRF Ranking 2022, JNU has retained its 2nd position among the top universities in India. JNU admission 2022 is ongoing for UG and PG courses. The university released the second merit list for UG admissions on October 26. Candidates who have applied for admission can check the cutoff score and rank on university’s official website - jnu.ac.in. ",https://www.jnu.ac.in/,https://goo.gl/maps/s6VEFh8SNQ391jLs9,55,55,10,15,Electronics and Communication Engineering,Yes
56,Chandigarh University,Punjab,Mohali,Chandigarh University is a private university offering 200+ courses. The university is ranked 48th by NIRF 2022 in the Indian Universities ranking. Chandigarh University admission 2022-23 is now open for various UG and PG courses. Aspirants are required to appear for the Chandigrah University Common University Test (CUCET). The last date to apply for CUCET Phase 2 is October 8. Candidates can apply online on the university’s official website - cucet.cuchd.in. ,https://www.cuchd.in/,https://g.page/ChandigarhUni?share,50,55,29,16,Electronics and Communication Engineering,Yes
57,National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,"NIT Trichy is an autonomous technological institute established by the Govt of India. Since 2017, the institute has secured its first place among all other NITs in the NIRF rankings. For the year 2022, NIRF has placed NIT Trichy at 21 in Overall, 23 in Research, 8 in Engineering, 39 in Management, and 5 in the Architecture category. NIT Trichy admission 2022 is ongoing for the B.Tech program.",https://www.nitt.edu/,https://goo.gl/maps/xGuvi67j5KbLyTU46,75,65,47,17,Electronics and Communication Engineering,Yes
58,"Indian Institute of Technology,Delhi",Delhi,New Delhi,"IIT Delhi ranks 4th in the Overall, 3rd in Research, 2nd in Engineering, and 4th in Management list of NIRF ranking 2022. In the QS World University Rankings 2023, IIT Delhi secured 174th position. IIT Delhi admission 2022 is currently ongoing for the B.Tech program. JoSAA 2022 round 6 seat allotment result is out now. Candidates can check the seat allotment results online by visiting the official website - josaa.admissions.nic.in. ",https://home.iitd.ac.in/,https://goo.gl/maps/3gPFUWx7fp2A99fP6,60,75,160,18,Electronics and Communication Engineering,Yes
59,University of Hyderabad,Telangana,Hyderabad,Hyderabad University is a UGC-approved and NAAC-accredited university. Hyderabad University admission 2022 is open for UG and PG programs. Admissions to UG courses will be done through CUET UG. CUET UG 2022 result is out now. Candidates who appeared in the entrance examination can check and download the scorecard by visiting the official website - cuet.samarth.ac.in.,https://uohyd.ac.in/,https://g.page/hyderabad-central-university-hcu?share,60,60,10,19,Electronics and Communication Engineering,Yes
